Pays ;PNB en m€;résultat courant avant impôt;impôt courant ;impôt différé;impôt sur les bénéfices;Effectifs (ETP);Filiales CBCR;Filiales périmètre en +;Total Filiales;Filiales;Activités;Mouvement de périmètre
Singapour;142 ;110 ;0 ;15 ;15 ;376 ;4;0;4;Newedge financial Singapore PTE Ltd;Broker;
Singapour;;;;;;;;;;SG securities (Singapore) PTE Ltd;Broker;
Singapour;;;;;;;;;;SG Singapour;Bank;
Singapour;;;;;;;;;;Société Générale Bank & Trust Singapore branch;Bank;
Slovaquie;15 ;11 ;-3 ;2 ;-1 ;103 ;5;0;5;ALD Automotive SRO;Specialist Financing;
Slovaquie;;;;;;;;;;Komercni Banka Bratislava;Bank;
Slovaquie;;;;;;;;;;Pema Slovakia SPOL SRO;Specialist Financing;
Slovaquie;;;;;;;;;;SG Equipment finance Czech Republic SRO Organizacna Zlozka (Slovak Republic branch);Specialist Financing;
Slovaquie;;;;;;;;;;Truckcenter Zvolen Spol SRO;Services;
Slovénie;108 ;44 ;-4 ;-4 ;-8 ;837 ;3;0;3;ALD Automotive operational leasing DOO;Specialist Financing;
Slovénie;;;;;;;;;;SKB leasing D.O.O;Specialist Financing;
Slovénie;;;;;;;;;;SKB Banka;Bank;company carrying out sub-consolidation
Suède;54 ;30 ;-3 ;-4 ;-7 ;124 ;4;0;4;ALD Automotive AB;Specialist Financing;company carrying out sub-consolidation
Suède;;;;;;;;;;NF Fleet AB;Specialist Financing;
Suède;;;;;;;;;;Pema Truck - OCH Traileruthyrning AB;Specialist Financing;
Suède;;;;;;;;;;SG Finans AS Swedish Branch;Specialist Financing;
Suisse;232 ;36 ;-3 ;0 ;-3 ;709 ;8;0;8;ALD Automotive AG;Specialist Financing;
Suisse;;;;;;;;;;Newedge Group, Paris, Zurich branch;Broker;
Suisse;;;;;;;;;;PEMA Truck - Und Trailervermietung GMBH;Specialist Financing;
Suisse;;;;;;;;;;Rosbank (Switzerland);Bank;
Suisse;;;;;;;;;;SG Equipment Finance Schweiz AG;Specialist Financing;
Suisse;;;;;;;;;;SG Private banking (Lugano - Svizzera) SA;Bank;
Suisse;;;;;;;;;;SG private banking suisse SA;Bank;company carrying out sub-consolidation
Suisse;;;;;;;;;;SG Zurich;Bank;
Taïwan;32 ;21 ;-3 ;-1 ;-4 ;31 ;2;0;2;SG Securities (Hong-Kong) Limited;Broker;
Taïwan;;;;;;;;;;SG Tapei;Bank;
Tchad;21 ;6 ;-1 ;0 ;-1 ;195 ;1;0;1;Société Générale Tchad;Bank;
Thaïlande;0 ;0 ;0 ;0 ;0 ;0 ;1;0;1;SG Bangkok;Bank;
Tunisie;91 ;34 ;-12 ;-2 ;-14 ;1229 ;1;0;1;Union internationale de banques;Bank;
Turquie;22 ;3 ;0 ;0 ;0 ;125 ;2;0;2;ALD Automotive Turizm ticaret anonim sirketi;Specialist Financing;
Turquie;;;;;;;;;;SG Istanbul;Bank;
Ukraine;;4 ;;;;;1;0;1;First lease Ltd;Specialist Financing;Mise en équivalence
